Designator,Footprint,Quantity,Value,LCSC Part #
"+3.3V1, ELE0, ELE1, ELE10, ELE11, ELE2, ELE3, ELE4, ELE5, ELE6, ELE7, ELE8, ELE9, GND1, GND2, RESET1, SWDCLK1, SWDIO1, VCC1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,19,Conn_01x01,
C1,C0603,1,CL10A106MQ8NNNC,C1691
C2,C0603,1,CL10A105KO8NNNC,C1592
"C3, C4, C5, C6, C7, C8",C0805,6,CT41G-0805-2X1-50V-0.1μF-M,C138340
R1,R0603,1,3.6kΩ,C22980
"R2, R6, R7",R0805,3,0805W8F4701T5E,C17673
R3,R0603,1,1kΩ,C14676
R4,R0805,1,0805W8F7502T5E,C17819
R5,R0805,1,10k,C25612
U1,LGA-60_L15.0-W10.0-NINA-B406-00B,1,NINA-B306-00B,C6127317
U2,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,1,BQ25185DLHR,C19725033
U3,LGA-14_L3.0-W2.5-P0.50-BR,1,BMI270,C2836813
U4,QFN-20_L3.0-W3.0-P0.40-BL,1,MPR121QR2,C91322
