"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","1276-1119-1-ND","CL10A106MQ8NNNC","CAP CER 10UF 6.3V X5R 0603","","10","0","0.06600","0.66"
"2","10","1276-1034-1-ND","CL10A105KO8NNNC","CAP CER 1UF 16V X5R 0603","","10","0","0.03500","0.35"
"3","10","A129757CT-ND","CRGCQ0805F4K7","RES 4.7K OHM 1% 1/8W 0805","","10","0","0.04500","0.45"
"4","22","399-C0805C104K5RAC7210CT-ND","C0805C104K5RAC7210","CAP CER 0.1UF 50V X7R 0805","","22","0","0.07400","1.63"
"5","6","CR0603-JW-102ELFCT-ND","CR0603-JW-102ELF","RES SMD 1K OHM 5% 1/10W 0603","","6","0","0.10000","0.60"
"6","6","13-RC0603FR-103K6LCT-ND","RC0603FR-103K6L","RES 3.6K OHM 1% 1/10W 0603","","6","0","0.10000","0.60"
"7","6","311-75KARCT-ND","RC0805JR-0775KL","RES 75K OHM 5% 1/8W 0805","","6","0","0.10000","0.60"
"8","10","A130140CT-ND","CRGCQ0805J10K","RES 10K OHM 5% 1/8W 0805","","10","0","0.03800","0.38"
"9","3","672-NINA-B406-00BCT-ND","NINA-B406-00B","RF TXRX MODULE BT TRACE ANT SMD","","3","0","7.30000","21.90"
"10","3","296-BQ25185DLHRCT-ND","BQ25185DLHR","1-CELL, 1-A STAND-ALONE LINEAR B","","0","3","2.28000","6.84"
"11","3","828-1091-1-ND","BMI270","IMU ACCEL/GYRO I2C/SPI 14LGA","","3","0","4.23000","12.69"

