"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"+3.3V1, BAT_IN1, ELE0, ELE1, ELE2, ELE3, ELE4, ELE5, ELE6, ELE7, ELE8, ELE9, ELE10, ELE11, GND1, GND2, RESET1, SWDCLK1, SWDIO1";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";19;"Conn_01x01";;;
2;"C1";"C0603";1;"CL10A106MQ8NNNC";;;
3;"C2";"C0603";1;"CL10A105KO8NNNC";;;
4;"C3, C4, C5, C6, C7, C8";"C0805";6;"CT41G-0805-2X1-50V-0.1μF-M";;;
5;"R1";"R0603";1;"3.6kΩ";;;
6;"R2, R6, R7";"R0805";3;"0805W8F4701T5E";;;
7;"R3";"R0603";1;"1kΩ";;;
8;"R4";"R0805";1;"0805W8F7502T5E";;;
9;"R5, R8";"R0805";2;"10k";;;
10;"U1";"LGA-60_L15.0-W10.0-NINA-B406-00B";1;"NINA-B306-00B";;;
11;"U2";"WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A";1;"BQ25185DLHR";;;
12;"U3";"LGA-14_L3.0-W2.5-P0.50-BR";1;"BMI270";;;
13;"U4";"QFN-20_L3.0-W3.0-P0.40-BL";1;"MPR121QR2";;;
