Designator,Mid X,Mid Y,Rotation,Layer
+3.3V1,93.01905,-70.49446,90.0,top
C1,85.939452,-60.517949,180.0,top
C2,84.5,-58.2,270.0,top
C3,86.0,-68.0,0.0,top
C4,86.0,-65.95,180.0,top
C5,86.0,-64.0,180.0,top
C6,99.0,-66.5,90.0,top
C7,86.0,-62.0,0.0,top
C8,100.234098,-53.236328,0.0,top
ELE0,97.017525,-70.440945,180.0,top
ELE1,99.014737,-70.411878,180.0,top
ELE10,104.974681,-56.976837,0.0,top
ELE11,102.973684,-56.976837,0.0,top
ELE2,101.009477,-70.395856,180.0,top
ELE3,103.0,-70.367668,0.0,top
ELE4,105.0,-70.354517,0.0,top
ELE5,105.0,-68.341203,0.0,top
ELE6,104.99048,-66.340539,0.0,top
ELE7,105.0,-61.0,0.0,top
ELE8,105.0,-59.0,0.0,top
ELE9,103.0,-59.0,0.0,top
GND1,97.005664,-68.441835,90.0,top
GND2,83.0,-59.5,0.0,top
R1,85.136174,-54.773233,90.0,top
R2,86.0,-70.0,180.0,top
R3,83.636174,-54.773233,90.0,top
R4,101.0,-66.5,270.0,top
R5,86.874057,-54.0,90.0,top
R6,90.0,-70.5,0.0,top
R7,90.0,-68.5,0.0,top
RESET1,95.01905,-70.49446,90.0,top
SWDCLK1,93.005226,-68.441328,90.0,top
SWDIO1,95.0,-68.441328,90.0,top
U1,93.0,-59.7,0.0,top
U2,86.754838,-58.021689,0.0,top
U3,100.234098,-55.316328,0.0,top
U4,100.5,-61.5,0.0,top
VCC1,83.0,-57.5,0.0,top
